YEAR,NAME,PIN,TAR,COMMITTED,FUNDED,REFUGEES,IDPS
2011,KEN,0,0,741818150,528690146,557340,309200
2011,SOM,0,0,1003322063,868139570,2124,1460000
2011,SUD,0,0,1132952016,741484812,0,0
2011,SSD,0,0,619673235,377760780,0,0
2011,DJI,0,0,33264338,19370114,20611,0
2011,ETH,0,0,454400000,290600000,254905,325000
2011,UGA,0,0,0,0,133115,73239
2012,KEN,2100000,0,795005122,411119116,586068,309200
2012,SOM,0,0,1164634356,589872503,2128,1360000
2012,SUD,0,0,1052446405,505676232,142000,1765000
2012,SSD,0,0,1156130815,570658539,207492,170000
2012,DJI,0,0,79310556,31661994,18658,0
2012,ETH,0,0,189400000,133700000,367000,350000
2012,UGA,0,0,0,0,172923,30136
2013,KEN,1700000,1700000,69982984,24753575,530959,309200
2013,SOM,3800000,0,1153087668,585736464,2339,1106000
2013,SUD,0,4000000,985120878,549458369,163900,2900000
2013,SSD,4500000,3000000,1072037430,773745283,224930,159134
2013,DJI,0,0,663311782,370453728,19949,0
2013,ETH,0,0,205000000,183500000,423851,416315
2013,UGA,0,0,0,0,206985,30136
2014,SOM,3180000,2000000,933070303,400787963,2669,1106751
2014,SUD,6100000,0,985696822,531725263,287709,3100000
2014,SSD,11600000,0,1801753424,1372100531,248152,1504768
2014,DJI,300000,250000,74085087,20563729,24425,0
2014,ETH,0,0,451900000,271140000,660987,834959
2014,KEN,0,0,0,0,551352,309200
2014,UGA,0,0,0,0,422435,30136
2015,SOM,3200000,2760000,862579628,26498692,2669,0
2015,SUD,0,5400000,1035894093,4221327,287709,0
2015,SSD,821000,551000,1807069154,81511887,248152,0
2015,DJI,300000,250000,74085087,20563729,24425,0
2015,KEN,0,0,0,0,551352,0
2015,ETH,0,0,344922157,0,660987,0
2015,UGA,0,0,0,0,0,0
